chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
SNDL,2021-02-12,2.5000,call,buy,2021-02-11T16:22:57.610057Z,debit,20.00000,limit,,short_call,0.45000000,20.00000
SNDL,2021-02-12,2.5000,call,sell,2021-02-10T15:16:41.247207Z,credit,20.00000,limit,short_call,,0.45000000,20.00000
NOK,2021-02-05,7.0000,call,buy,2021-02-03T14:55:47.285828Z,debit,3.00000,limit,,short_call,0.04000000,3.00000
BB,2021-02-05,22.0000,call,buy,2021-02-03T14:55:37.698892Z,debit,6.00000,limit,,short_call,0.05000000,6.00000
AMC,2021-02-05,30.0000,call,buy,2021-02-03T14:55:24.858203Z,debit,6.00000,limit,,short_call,0.10000000,6.00000
EXPR,2021-02-19,15.0000,call,buy,2021-02-02T14:30:34.019486Z,debit,4.00000,limit,,short_call,0.85000000,4.00000
AMC,2021-02-05,30.0000,call,sell,2021-02-01T14:33:26.711569Z,credit,6.00000,limit,short_call,,2.85000000,6.00000
NOK,2021-02-05,7.0000,call,sell,2021-02-01T14:30:54.362437Z,credit,3.00000,limit,short_call,,0.31000000,3.00000
BB,2021-02-05,22.0000,call,sell,2021-02-01T14:30:27.118675Z,credit,6.00000,limit,short_call,,0.91000000,6.00000
AMC,2021-02-05,16.5000,call,buy,2021-01-29T17:50:37.642309Z,debit,6.00000,limit,,short_call,4.90000000,6.00000
BB,2021-02-05,23.0000,call,buy,2021-01-29T15:48:22.772245Z,debit,6.00000,limit,,short_call,2.35000000,6.00000
EXPR,2021-02-19,15.0000,call,sell,2021-01-29T15:24:16.638681Z,credit,4.00000,limit,short_call,,2.00000000,4.00000
BB,2021-02-05,23.0000,call,sell,2021-01-29T15:22:03.390038Z,credit,6.00000,limit,short_call,,2.36000000,6.00000
AMC,2021-02-05,16.5000,call,sell,2021-01-29T15:21:25.495581Z,credit,6.00000,limit,short_call,,4.95000000,6.00000
NIO,2021-01-29,62.5000,call,buy,2021-01-27T15:51:34.076381Z,debit,1.00000,limit,,short_call,0.82000000,1.00000
HYLN,2021-01-29,17.0000,put,buy,2021-01-27T15:51:13.366860Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
PLUG,2021-01-29,65.0000,put,buy,2021-01-27T14:48:32.036550Z,debit,1.00000,limit,,short_put,3.70000000,1.00000
TAN,2021-01-29,115.0000,put,buy,2021-01-27T14:46:32.988375Z,debit,1.00000,limit,,short_put,6.80000000,1.00000
WKHS,2021-01-29,23.5000,call,buy,2021-01-27T14:42:56.075245Z,debit,1.00000,limit,,short_call,10.20000000,1.00000
WKHS,2021-01-29,23.5000,call,buy,2021-01-27T14:42:04.296142Z,debit,1.00000,limit,,short_call,10.45000000,1.00000
WKHS,2021-01-29,23.5000,call,buy,2021-01-27T14:41:34.046453Z,debit,1.00000,limit,,short_call,10.60000000,1.00000
WKHS,2021-01-29,23.5000,call,buy,2021-01-27T14:39:24.679504Z,debit,1.00000,limit,,short_call,10.65000000,1.00000
WKHS,2021-01-29,23.5000,call,buy,2021-01-27T14:33:22.746250Z,debit,1.00000,limit,,short_call,8.85000000,1.00000
TAN,2021-01-29,115.0000,put,sell,2021-01-26T16:49:37.433942Z,credit,1.00000,limit,short_put,,2.40000000,1.00000
AMD,2021-02-05,90.0000,put,buy,2021-01-26T16:48:59.552792Z,debit,1.00000,limit,,short_put,2.48000000,1.00000
PLUG,2021-01-29,65.0000,put,sell,2021-01-26T15:46:17.679430Z,credit,1.00000,limit,short_put,,1.22000000,1.00000
NIO,2021-01-29,62.5000,call,sell,2021-01-26T15:43:36.192295Z,credit,1.00000,limit,short_call,,1.06000000,1.00000
PLUG,2021-01-29,59.0000,put,buy,2021-01-26T15:42:52.452135Z,debit,2.00000,limit,,short_put,0.37000000,2.00000
HYLN,2021-01-29,17.0000,put,sell,2021-01-22T16:38:08.639329Z,credit,1.00000,limit,short_put,,0.65000000,1.00000
PLUG,2021-01-29,59.0000,put,sell,2021-01-22T15:45:22.768391Z,credit,2.00000,limit,short_put,,2.09000000,2.00000
NIO,2021-01-29,59.5000,put,buy,2021-01-22T15:43:44.938663Z,debit,2.00000,limit,,short_put,1.94000000,2.00000
NIO,2021-01-29,59.5000,put,sell,2021-01-22T15:34:29.020203Z,credit,2.00000,limit,short_put,,2.00000000,2.00000
NIO,2021-01-22,56.0000,put,buy,2021-01-22T15:30:54.385216Z,debit,2.00000,limit,,short_put,0.03000000,2.00000
WKHS,2021-01-29,23.5000,call,sell,2021-01-21T20:29:44.093212Z,credit,5.00000,limit,short_call,,1.02000000,5.00000
WKHS,2021-01-22,24.0000,call,buy,2021-01-21T20:26:46.045526Z,debit,5.00000,limit,,short_call,0.14000000,5.00000
HYLN,2021-01-22,17.0000,call,sell,2021-01-19T15:18:42.337386Z,credit,1.00000,limit,short_call,,0.45000000,1.00000
NIO,2021-01-22,56.0000,put,sell,2021-01-19T15:17:33.997198Z,credit,2.00000,limit,short_put,,1.16000000,2.00000
WKHS,2021-01-22,24.0000,call,sell,2021-01-19T15:15:29.932416Z,credit,5.00000,limit,short_call,,0.86000000,5.00000
ZM,2021-02-05,320.0000,put,sell,2021-01-12T14:34:59.702871Z,debit,1.00000,limit,,short_put_spread,4.45000000,1.00000
ZM,2021-02-05,330.0000,put,buy,2021-01-12T14:34:59.702871Z,debit,1.00000,limit,,short_put_spread,4.45000000,1.00000
TWTR,2021-01-15,45.0000,put,sell,2021-01-12T14:30:56.920534Z,credit,1.00000,limit,short_put,,0.37000000,1.00000
SRNE,2021-01-15,8.0000,call,sell,2021-01-11T17:34:54.137541Z,credit,1.00000,limit,short_call,,0.15000000,1.00000
WKHS,2021-01-15,23.5000,put,sell,2021-01-11T17:19:01.837438Z,credit,2.00000,limit,short_put,,0.33000000,2.00000
WKHS,2021-01-15,23.5000,put,sell,2021-01-07T18:45:29.000991Z,credit,1.00000,limit,short_put,,0.52000000,1.00000
WKHS,2021-01-15,23.5000,put,sell,2021-01-07T18:45:06.847355Z,credit,1.00000,limit,short_put,,0.52000000,1.00000
WKHS,2021-01-15,23.5000,put,sell,2021-01-07T18:44:08.229636Z,credit,1.00000,limit,short_put,,0.53000000,1.00000
HYLN,2021-01-15,17.0000,put,sell,2021-01-07T18:41:20.292632Z,credit,1.00000,limit,short_put,,0.79000000,1.00000
AMD,2021-02-05,90.0000,put,sell,2021-01-07T18:31:13.085211Z,credit,1.00000,limit,short_put,,3.85000000,1.00000
TAN,2021-01-08,97.5000,put,buy,2021-01-07T18:30:25.360761Z,debit,1.00000,limit,,short_put,0.05000000,1.00000
BBY,2021-01-29,98.0000,put,buy,2021-01-06T18:51:35.306347Z,debit,1.00000,limit,,custom,0.70000000,1.00000
BBY,2021-01-29,97.5000,put,sell,2021-01-06T18:51:35.306347Z,debit,1.00000,limit,,custom,0.70000000,1.00000
BBY,2021-01-29,97.0000,put,buy,2021-01-06T18:51:35.306347Z,debit,1.00000,limit,,custom,0.70000000,1.00000
BBY,2021-01-29,90.0000,put,sell,2021-01-06T18:51:35.306347Z,debit,1.00000,limit,,custom,0.70000000,1.00000
TAN,2021-01-08,97.5000,put,sell,2021-01-04T17:05:46.870065Z,credit,1.00000,limit,short_put,,1.50000000,1.00000
WKHS,2021-01-08,23.5000,call,sell,2021-01-04T17:03:11.024423Z,credit,4.00000,limit,short_call,,0.13000000,4.00000
WKHS,2021-01-08,23.5000,call,sell,2021-01-04T17:02:43.006327Z,credit,1.00000,limit,short_call,,0.13000000,1.00000
SRNE,2021-01-08,7.5000,call,sell,2021-01-04T17:01:22.331963Z,credit,1.00000,limit,short_call,,0.15000000,1.00000
HYLN,2021-01-08,17.0000,call,sell,2021-01-04T17:01:08.269694Z,credit,1.00000,limit,short_call,,0.29000000,1.00000
DKNG,2021-01-08,47.5000,call,sell,2021-01-04T16:55:12.348129Z,credit,1.00000,limit,short_call,,1.02000000,1.00000
