Symbol,Strike Price,Premium Ratio
AAPL,175.00,0.02%
AAPL,170.00,0.02%
AAPL,165.00,0.03%
AAPL,160.00,0.03%
AAPL,155.00,0.01%
AAPL,150.00,0.05%
AAPL,149.00,0.01%
AAPL,148.00,0.01%
AAPL,147.00,0.01%
AAPL,146.00,0.01%
AAPL,145.00,0.09%
AAPL,144.00,0.01%
AAPL,143.00,0.01%
AAPL,142.00,0.01%
AAPL,141.00,0.01%
AAPL,140.00,0.12%
AAPL,139.00,0.13%
AAPL,138.00,0.01%
AAPL,137.00,0.16%
AAPL,136.00,0.01%
AAPL,135.00,0.19%
AAPL,134.00,0.26%
AAPL,133.00,0.01%
AAPL,132.00,0.23%
AAPL,131.00,0.32%
AAPL,130.00,0.38%
AAPL,129.00,0.49%
AAPL,128.00,0.55%
AAPL,127.00,0.60%
AAPL,126.00,0.69%
AAPL,125.00,0.82%
AAPL,124.00,0.95%
AAPL,123.00,1.19%
AAPL,122.00,1.33%
AAPL,121.00,1.32%
AAPL,120.00,1.80%
AAPL,119.00,2.11%
AAPL,118.00,1.91%
AAPL,117.00,2.77%
AAPL,116.00,3.12%
AAPL,115.00,3.60%
AAPL,114.00,3.90%
AAPL,113.00,4.45%
AAPL,112.00,4.99%
AAPL,111.00,5.38%
AAPL,110.00,6.31%
AAPL,109.00,6.79%
AAPL,108.00,7.37%
AAPL,107.00,7.24%
AAPL,106.00,8.71%
AAPL,105.00,9.54%
AAPL,104.00,10.48%
AAPL,103.00,11.06%
AAPL,102.00,11.75%
AAPL,101.00,12.60%
AAPL,100.00,13.92%
AAPL,99.50,13.79%
AAPL,99.00,14.18%
AAPL,98.50,14.61%
AAPL,98.00,15.03%
AAPL,97.50,15.39%
AAPL,97.00,15.70%
AAPL,96.00,16.69%
AAPL,95.00,17.56%
AAPL,94.00,18.38%
AAPL,93.00,19.28%
AAPL,92.00,20.06%
AAPL,91.00,20.88%
AAPL,90.00,21.72%
AAPL,89.00,22.75%
AAPL,88.00,23.59%
AAPL,87.00,24.45%
AAPL,86.00,25.41%
AAPL,85.00,26.27%
AAPL,84.00,26.97%
AAPL,83.00,27.82%
AAPL,82.00,28.77%
AAPL,81.00,29.61%
AAPL,80.00,30.59%
AAPL,79.00,31.46%
AAPL,78.00,32.33%
AAPL,77.00,33.45%
AAPL,76.00,33.86%
AAPL,75.00,34.73%
AAPL,74.00,35.67%
AAPL,73.00,36.45%
AAPL,72.00,37.76%
AAPL,71.00,38.18%
AAPL,70.00,39.05%
AAPL,65.00,43.49%
AAPL,60.00,47.78%
SNAP,57.00,0.12%
SNAP,56.00,0.14%
SNAP,55.00,0.17%
SNAP,54.00,0.14%
SNAP,53.00,0.21%
SNAP,52.00,0.26%
SNAP,51.00,0.33%
SNAP,50.00,0.45%
SNAP,49.00,0.57%
SNAP,48.00,0.73%
SNAP,47.00,0.97%
SNAP,46.00,1.30%
SNAP,45.00,1.78%
SNAP,44.50,2.11%
SNAP,44.00,2.46%
SNAP,43.50,2.79%
SNAP,43.00,3.22%
SNAP,42.50,3.69%
SNAP,42.00,4.33%
SNAP,41.50,4.95%
SNAP,41.00,5.61%
SNAP,40.50,6.32%
SNAP,40.00,7.22%
SNAP,39.50,8.05%
SNAP,39.00,9.00%
SNAP,38.50,10.02%
SNAP,38.00,10.85%
SNAP,37.50,12.03%
SNAP,37.00,12.91%
SNAP,36.50,14.09%
SNAP,36.00,14.99%
SNAP,35.50,16.30%
SNAP,35.00,17.48%
SNAP,34.50,18.66%
SNAP,34.00,19.66%
SNAP,33.50,20.80%
SNAP,33.00,21.98%
SNAP,32.50,23.28%
SNAP,32.00,24.40%
SNAP,31.50,25.53%
SNAP,31.00,26.76%
SNAP,30.50,27.83%
SNAP,30.00,28.97%
SNAP,29.50,30.20%
SNAP,29.00,31.38%
SNAP,28.50,32.57%
SNAP,28.00,33.87%
SNAP,27.50,34.89%
SNAP,27.00,36.24%
SNAP,26.50,37.38%
SNAP,26.00,38.44%
SNAP,25.50,39.55%
SNAP,25.00,40.81%
SNAP,24.50,41.99%
SNAP,24.00,43.06%
SNAP,23.50,44.36%
SNAP,23.00,45.55%
SNAP,22.50,46.73%
SNAP,22.00,47.92%
SNAP,21.50,49.10%
SNAP,21.00,50.28%
SNAP,20.50,51.47%
SNAP,20.00,52.58%
SNAP,19.50,53.84%
SNAP,19.00,55.02%
SNAP,18.50,56.21%
SNAP,15.00,64.50%
